"Lab","days_since_positive","France-01","France-02","Germany-02","Germany-01","Germany-03","Italy-01","Italy-03","Italy-02","USA-03","USA-08","USA-11","USA-01","USA-04","USA-07","USA-06","USA-02","USA-10","USA-05","USA-09","USA-12","France","Germany","Italy","US"
"white blood cell count (Leukocytes)","23",NA,NA,0.0120481927710843,NA,NA,NA,0.0317460317460317,0.0776209677419355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0108695652173913,0.0613861386138614,0
"white blood cell count (Leukocytes)","24",NA,NA,NA,NA,NA,NA,0.0416666666666667,0.0655241935483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0567656765676568,0
"white blood cell count (Leukocytes)","25",0.00543478260869565,NA,NA,NA,NA,NA,0.0376984126984127,0.0493951612903226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00323624595469256,0,0.0448844884488449,0
"white blood cell count (Leukocytes)","26",NA,NA,NA,NA,NA,NA,0.0178571428571429,0.0504032258064516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0389438943894389,0
"white blood cell count (Leukocytes)","27",NA,NA,NA,NA,NA,NA,0.0218253968253968,0.0453629032258065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.036963696369637,0
"lymphocyte count","n_max",170,87,41,4,44,18,470,619,108,400,0,309,37,50,63,0,46,48,7,0,257,89,1107,1068
"lymphocyte count","0",0.0941176470588235,0.402298850574713,0.317073170731707,NA,0.454545454545455,NA,0.178723404255319,0.313408723747981,1,0.13,NA,NA,NA,0.48,NA,NA,1,0.979166666666667,NA,NA,0.198443579766537,0.370786516853933,0.251129177958446,0.25936329588015
"lymphocyte count","1",1,1,0.780487804878049,NA,1,NA,1,1,0.75,1,NA,1,1,1,1,NA,0.565217391304348,0.854166666666667,NA,NA,1,0.853932584269663,0.983739837398374,0.942883895131086
"lymphocyte count","2",0.235294117647059,0.264367816091954,1,NA,0.636363636363636,NA,0.527659574468085,0.731825525040388,0.777777777777778,0.6775,NA,0.485436893203884,0.72972972972973,NA,0.920634920634921,NA,0.391304347826087,0.729166666666667,NA,NA,0.245136186770428,0.775280898876405,0.633242999096658,0.602059925093633
"lymphocyte count","3",0.252941176470588,0.229885057471264,0.634146341463415,NA,0.431818181818182,NA,0.604255319148936,0.697899838449112,0.638888888888889,0.56,NA,0.466019417475728,0.621621621621622,NA,0.793650793650794,NA,0.239130434782609,0.791666666666667,NA,NA,0.245136186770428,0.50561797752809,0.646793134598013,0.523408239700375
"lymphocyte count","4",0.217647058823529,0.195402298850575,0.609756097560976,NA,0.5,NA,0.48936170212766,0.562197092084006,0.462962962962963,0.51,NA,0.420711974110032,0.513513513513513,NA,0.650793650793651,NA,0.347826086956522,0.770833333333333,NA,NA,0.21011673151751,0.528089887640449,0.522131887985547,0.465355805243446
"lymphocyte count","5",0.164705882352941,0.0919540229885057,0.585365853658537,NA,0.295454545454545,NA,0.451063829787234,0.54281098546042,0.324074074074074,0.4375,NA,0.339805825242718,0.432432432432432,NA,0.603174603174603,NA,NA,0.6875,NA,NA,0.140077821011673,0.415730337078652,0.495031616982836,0.376404494382022
"lymphocyte count","6",0.105882352941176,0.149425287356322,0.560975609756098,NA,0.295454545454545,NA,0.382978723404255,0.552504038772213,0.305555555555556,0.37,NA,0.268608414239482,0.432432432432432,NA,0.53968253968254,NA,NA,0.604166666666667,NA,NA,0.120622568093385,0.404494382022472,0.471544715447154,0.321161048689139
"lymphocyte count","7",0.141176470588235,0.0689655172413793,0.341463414634146,NA,0.409090909090909,NA,0.368085106382979,0.507269789983845,0.203703703703704,0.295,NA,0.220064724919094,0.297297297297297,NA,0.476190476190476,NA,NA,0.520833333333333,NA,NA,0.116731517509728,0.359550561797753,0.439927732610659,0.256554307116105
"lymphocyte count","8",0.1,0.114942528735632,0.292682926829268,NA,0.295454545454545,NA,0.312765957446809,0.421647819063005,0.175925925925926,0.22,NA,0.200647249190939,NA,NA,0.396825396825397,NA,NA,0.479166666666667,NA,NA,0.105058365758755,0.280898876404494,0.368563685636856,0.203183520599251
"lymphocyte count","9",0.0941176470588235,0.0804597701149425,0.170731707317073,NA,0.204545454545455,NA,0.327659574468085,0.420032310177706,0.157407407407407,0.16,NA,0.158576051779935,NA,NA,0.349206349206349,NA,NA,0.5,NA,NA,0.0894941634241245,0.179775280898876,0.373983739837398,0.164794007490637
"lymphocyte count","10",0.0588235294117647,0.0574712643678161,0.146341463414634,NA,0.295454545454545,NA,0.31063829787234,0.373182552504039,0.12962962962963,0.1375,NA,0.135922330097087,NA,NA,0.333333333333333,NA,NA,0.416666666666667,NA,NA,0.0583657587548638,0.213483146067416,0.340560072267389,0.142322097378277
"lymphocyte count","11",0.0294117647058824,NA,0.292682926829268,NA,0.159090909090909,NA,0.259574468085106,0.340872374798061,0.101851851851852,0.095,NA,0.087378640776699,NA,NA,0.317460317460317,NA,NA,0.291666666666667,NA,NA,0.0194552529182879,0.213483146067416,0.300813008130081,0.102996254681648
"lymphocyte count","12",0.0411764705882353,NA,0.146341463414634,NA,0.113636363636364,NA,0.217021276595745,0.329563812600969,NA,0.075,NA,0.0517799352750809,NA,NA,0.222222222222222,NA,NA,0.25,NA,NA,0.0272373540856031,0.123595505617978,0.276422764227642,0.0674157303370786
"lymphocyte count","13",0.0470588235294118,NA,0.219512195121951,NA,0.0681818181818182,NA,0.182978723404255,0.276252019386107,NA,0.0575,NA,0.0453074433656958,NA,NA,0.158730158730159,NA,NA,NA,NA,NA,0.0311284046692607,0.134831460674157,0.232158988256549,0.0440074906367041
"lymphocyte count","14",0.0411764705882353,NA,0.121951219512195,NA,0.113636363636364,NA,0.170212765957447,0.277867528271405,NA,0.04,NA,0.0388349514563107,NA,NA,NA,NA,NA,NA,NA,NA,0.0272373540856031,0.112359550561798,0.227642276422764,0.0262172284644195
"lymphocyte count","15",0.0117647058823529,NA,0.0487804878048781,NA,0.0909090909090909,NA,0.174468085106383,0.248788368336026,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00778210116731518,0.0674157303370786,0.213188798554652,0.00936329588014981
"lymphocyte count","16",0.0176470588235294,NA,0.0487804878048781,NA,NA,NA,0.123404255319149,0.208400646203554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0116731517509728,0.0224719101123595,0.168925022583559,0
"lymphocyte count","17",0.00588235294117647,NA,0.024390243902439,NA,NA,NA,0.121276595744681,0.193861066235864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00389105058365759,0.0112359550561798,0.159891598915989,0
"lymphocyte count","18",0.0294117647058824,NA,0.024390243902439,NA,NA,NA,0.0787234042553192,0.187399030694669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0194552529182879,0.0112359550561798,0.138211382113821,0
"lymphocyte count","19",NA,NA,NA,NA,NA,NA,0.0978723404255319,0.172859450726979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.138211382113821,0
"lymphocyte count","20",NA,NA,0.0487804878048781,NA,NA,NA,0.0680851063829787,0.140549273021002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0224719101123595,0.107497741644083,0
"lymphocyte count","21",NA,NA,NA,NA,NA,NA,0.0659574468085106,0.117932148626817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0939476061427281,0
"lymphocyte count","22",NA,NA,NA,NA,NA,NA,0.0553191489361702,0.103392568659128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0813008130081301,0
"lymphocyte count","23",NA,NA,0.024390243902439,NA,NA,NA,0.0319148936170213,0.0856219709208401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0112359550561798,0.0614272809394761,0
"lymphocyte count","24",NA,NA,NA,NA,NA,NA,0.0446808510638298,0.0694668820678514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0578139114724481,0
"neutrophil count","n_max",170,121,44,1,44,18,470,836,107,0,32,309,37,50,64,0,46,39,7,0,291,89,1324,691
"neutrophil count","0",0.0941176470588235,0.413223140495868,0.409090909090909,NA,0.454545454545455,NA,0.178723404255319,0.727272727272727,1,NA,0.875,NA,NA,0.48,NA,NA,1,1,NA,NA,0.22680412371134,0.426966292134831,0.522658610271903,0.353111432706223
